LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
19604-8,"Morphine.free cutoff",MCnc,Pt,Urine,Qn,Confirm,DRUG/TOX,2.44,ACTIVE,1,Observation,,ng/mL,"Morphine Free cutoff [Mass/volume] in Urine for Confirmatory method",ng/mL,1.0l,false,"Morphine.free cutoff:MCnc:Pt:Urine:Qn:Confirm"
19603-0,"Morphine.free cutoff",MCnc,Pt,Urine,Qn,Screen,DRUG/TOX,2.44,ACTIVE,1,Observation,,ng/mL,"Morphine Free cutoff [Mass/volume] in Urine for Screen method",ng/mL,1.0l,false,"Morphine.free cutoff:MCnc:Pt:Urine:Qn:Screen"
99063-0,"Free water clearance",VRat,Pt,Urine+Ser/Plas,Qn,,CHEM,2.72,ACTIVE,1,Both,,mL/min,"Free water Clearance in Urine and Serum or Plasma",mL/min,2.72,false,"Free water clearance:VRat:Pt:Urine+Ser/Plas:Qn:"
111467-7,Albumin/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Albumin/Creatinine [Measurement] in Urine",,2.81,false,Albumin/Creatinine:{Measurement}:-:Urine:-:
38186-3,"Beta globulin",MCnc,24H,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,g/dL,"Beta globulin [Mass/volume] in 24 hour Urine by Electrophoresis",g/dL,2.13,false,"Beta globulin:MCnc:24H:Urine:Qn:Electrophoresis"
35261-7,Cortisol.free,MSCnc,24H,Urine,Qn,HPLC,CHEM,2.42,DISCOURAGED,1,Both,,,"Cortisol Free [Mass or Moles/volume] in 24 hour Urine by HPLC",,2.11,false,Cortisol.free:MSCnc:24H:Urine:Qn:HPLC
19751-7,"Mouse epithelium+Serum proteins+Urine proteins Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.73,ACTIVE,1,Both,,kIU/L,"Mouse epithelium, serum proteins + urine proteins IgE Ab [Units/volume] in Serum",k[IU]/L,1.0l,false,"Mouse epithelium+Serum proteins+Urine proteins Ab.IgE:ACnc:Pt:Ser:Qn:"
102993-3,"Mouse epithelium+Serum proteins+Urine proteins Ab.IgE",PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ACTIVE,1,Observation,,,"Mouse epithelium, serum proteins + urine proteins IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",,2.75,false,"Mouse epithelium+Serum proteins+Urine proteins Ab.IgE:PrThr:Pt:Ser:SemiQn:RAST"
43373-0,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE.RAST class",PrThr,Pt,Ser,Ord,,ALLERGY,2.75,DEPRECATED,1,Observation,,,"Deprecated Rat epithelium, serum proteins + urine proteins IgE Ab RAST class [Presence] in Serum",,2.17,false,"Rat epithelium+Serum proteins+Urine proteins Ab.IgE.RAST class:PrThr:Pt:Ser:Ord:"
1753-3,Albumin,PrThr,Pt,Urine,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Albumin [Presence] in Urine",,1.0,false,Albumin:PrThr:Pt:Urine:Ord:
