LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
3094-0,"Urea nitrogen",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,"Urea nitrogen:MCnc:Pt:Ser/Plas:Qn:"
44416-6,"Urea nitrogen/Creatinine",MRto,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"g/g creatinine","Urea nitrogen/Creatinine [Mass Ratio] in Urine",g/g{creat},2.17,false,"Urea nitrogen/Creatinine:MRto:Pt:Urine:Qn:"
79265-5,"Urea nitrogen^overnight dwell",SCnc,Pt,"Dial fld prt",Qn,,CHAL,2.56,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in Peritoneal dialysis fluid --overnight dwell",mmol/L,2.54,false,"Urea nitrogen^overnight dwell:SCnc:Pt:Dial fld prt:Qn:"
12979-1,"Urea nitrogen^24H specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --24 hour specimen",mg/L,1.0j-a,false,"Urea nitrogen^24H specimen:MCnc:Pt:Dial fld prt:Qn:"
26749-2,"Urea nitrogen^2nd specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.70,ACTIVE,1,Observation,,mg/dL,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --2nd specimen",mg/dL,2.00,false,"Urea nitrogen^2nd specimen:MCnc:Pt:Dial fld prt:Qn:"
35657-6,"Urea nitrogen/body weight",RelMRat,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Observation,,"mg/24 H/kg","Urea nitrogen/Body weight [Mass/kg/time] in 24 hour Urine",mg/(24.h)/kg,2.13,false,"Urea nitrogen/body weight:RelMRat:24H:Urine:Qn:"
13821-4,"Urea nitrogen/Creatinine",MRto,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"g/g creatinine","Urea nitrogen/Creatinine [Mass Ratio] in 24 hour Urine",g/g{creat},1.0k,false,"Urea nitrogen/Creatinine:MRto:24H:Urine:Qn:"
44735-9,"Urea nitrogen/Creatinine",MRto,Pt,"Body fld",Qn,,CHEM,2.42,ACTIVE,1,Observation,,"g/g creatinine","Urea nitrogen/Creatinine [Mass Ratio] in Body fluid",g/g{creat},2.17,false,"Urea nitrogen/Creatinine:MRto:Pt:Body fld:Qn:"
12268-9,"Urea nitrogen^12H post peritoneal dialysis",MCnc,Pt,"Periton fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal fluid --12 hours post peritoneal dialysis",mg/L,1.0j-a,false,"Urea nitrogen^12H post peritoneal dialysis:MCnc:Pt:Periton fld:Qn:"
78537-8,"Urea nitrogen^4H dwell specimen",SCnc,Pt,"Dial fld prt",Qn,,CHEM,2.54,ACTIVE,1,Observation,,mmol/L,"Urea nitrogen [Moles/volume] in Peritoneal dialysis fluid --4 hour dwell specimen",mmol/L,2.54,false,"Urea nitrogen^4H dwell specimen:SCnc:Pt:Dial fld prt:Qn:"
12267-1,"Urea nitrogen^4H post peritoneal dialysis",MCnc,Pt,"Periton fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal fluid --4 hours post peritoneal dialysis",mg/L,1.0j-a,false,"Urea nitrogen^4H post peritoneal dialysis:MCnc:Pt:Periton fld:Qn:"
12972-6,"Urea nitrogen^1st specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.42,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --1st specimen",mg/L,1.0j-a,false,"Urea nitrogen^1st specimen:MCnc:Pt:Dial fld prt:Qn:"
48622-5,"Urea nitrogen^24H post peritoneal dialysis",MCnc,Pt,"Periton fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal fluid --24 hours post peritoneal dialysis",mg/L,2.21,false,"Urea nitrogen^24H post peritoneal dialysis:MCnc:Pt:Periton fld:Qn:"
12971-8,"Urea nitrogen^4H dwell specimen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.54,ACTIVE,1,Observation,,mg/L,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --4 hour dwell specimen",mg/L,1.0j-a,false,"Urea nitrogen^4H dwell specimen:MCnc:Pt:Dial fld prt:Qn:"
3097-3,"Urea nitrogen/Creatinine",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/mg creatinine","Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma",mg/mg{creat},1.0,false,"Urea nitrogen/Creatinine:MRto:Pt:Ser/Plas:Qn:"
